,age,sex,size,fixed,house_trained,special_needs,shots_current,env_children,env_dogs,env_cats
2055,0,0,0,0,0,0,0,1,1,1
2056,0,0,0,0,0,0,0,1,1,1
2057,0,1,0,0,0,0,0,1,1,1
2058,0,1,0,0,0,0,0,1,1,1
2067,2,0,1,1,1,0,1,1,0,0
2083,0,1,0,0,0,0,0,1,1,1
2084,0,1,0,0,0,0,0,1,1,1
2085,0,1,0,0,0,0,0,1,1,1
2086,0,0,0,0,0,0,0,1,1,1
2087,0,0,0,0,0,0,0,1,1,1
2088,1,0,0,0,0,0,0,1,1,1
2089,2,0,1,0,0,0,0,1,1,1
2090,1,1,1,0,0,0,1,1,1,1
2092,2,1,1,0,0,0,0,1,1,1
2093,2,1,2,0,0,0,0,1,1,1
2094,2,0,2,0,0,0,0,1,1,1
2095,2,0,2,1,0,0,0,1,1,1
2096,2,0,1,0,0,0,0,1,1,1
2097,0,1,1,0,0,0,0,1,1,1
2098,0,0,0,0,0,0,0,1,1,1
2104,0,1,1,1,0,0,0,1,1,1
2105,2,1,1,1,0,0,0,1,1,1
2106,0,1,0,1,0,0,0,1,1,1
2118,0,0,0,1,0,0,0,1,1,1
2137,0,0,1,0,0,0,0,1,1,1
2143,1,1,1,1,0,0,0,1,1,1
2150,2,1,2,1,1,0,0,1,1,0
2151,0,1,0,1,0,0,0,1,1,1
2152,2,1,1,0,0,0,0,1,1,1
2159,2,0,2,1,0,0,0,1,1,1
2160,1,0,0,0,0,0,0,1,1,1
2161,0,1,0,1,0,0,0,1,1,1
2162,0,1,0,1,0,0,0,1,1,1
2163,2,0,1,0,0,0,0,1,1,1
2166,0,1,2,1,0,0,1,1,1,1
2167,0,1,2,0,0,0,1,1,1,1
2168,0,0,1,1,0,0,1,1,1,1
2169,0,0,1,1,0,0,1,1,1,1
2170,2,0,1,1,1,0,1,1,1,0
2171,0,1,2,1,0,0,1,1,1,1
2172,0,1,0,1,0,0,1,1,1,1
2173,2,1,1,1,0,0,0,1,1,1
2174,0,0,1,0,0,0,0,1,1,1
2175,0,1,1,0,0,0,0,1,1,1
2176,2,0,1,0,0,0,0,1,1,1
2177,2,1,2,1,0,0,0,1,1,1
2186,0,0,1,1,0,0,1,1,1,1
2187,0,0,1,1,0,0,1,1,1,1
2188,0,0,1,1,0,0,1,1,1,1
2189,0,1,1,1,0,0,1,1,1,1
2190,0,1,1,1,0,0,1,1,1,1
2191,2,0,0,0,0,0,0,1,1,1
2192,0,0,0,0,0,0,0,1,1,1
2193,0,1,0,0,0,0,0,1,1,1
2194,2,0,1,1,0,0,0,1,1,1
2195,2,1,2,0,0,0,0,1,1,1
2208,2,0,3,1,0,0,0,1,1,1
2209,2,1,2,1,0,0,0,1,1,1
2210,1,1,3,1,0,0,0,1,1,1
2211,2,1,2,1,0,0,0,1,1,1
2212,2,1,2,1,0,0,0,1,1,1
2213,2,1,3,1,0,0,0,1,1,1
2214,1,0,2,1,0,0,0,1,1,1
2215,1,0,2,1,0,0,0,1,1,1
2216,1,0,1,1,0,0,0,1,1,1
2217,3,1,0,1,0,0,0,1,1,1
2218,2,1,1,1,0,0,0,1,1,1
2219,1,1,2,0,0,0,0,1,1,1
2225,2,1,0,1,0,0,1,1,1,1
2246,0,0,1,0,0,0,1,1,1,1
2248,2,1,1,0,0,0,0,1,1,1
2255,2,1,1,1,1,0,1,1,0,0
2258,0,0,1,0,0,0,1,1,1,1
2259,0,0,1,0,0,0,1,1,1,1
2260,0,0,1,0,0,0,1,1,1,1
2261,0,0,1,0,0,0,1,1,1,1
2279,0,0,1,0,0,0,1,1,1,0
2287,1,1,2,1,0,0,1,1,1,0
2299,3,1,0,1,1,0,1,1,1,1
2301,1,1,1,0,0,0,1,1,1,1
2302,1,0,1,0,0,0,1,1,1,1
2310,0,0,0,1,0,0,1,1,1,1
2311,0,1,0,1,0,0,1,1,1,1
2314,2,1,1,1,0,0,0,1,1,1
2315,2,0,1,1,0,0,0,1,1,1
2316,2,0,1,1,0,0,0,1,1,1
2322,0,0,1,1,0,0,1,1,1,1
2325,2,1,2,1,0,0,0,1,1,1
2332,2,1,2,1,0,0,0,1,1,1
2337,0,0,0,1,0,0,1,1,1,1
2338,0,1,0,1,0,0,1,1,1,1
2339,0,1,0,1,0,0,1,1,1,1
2340,0,1,0,1,0,0,1,1,1,1
2357,1,1,0,0,0,0,0,1,1,1
2358,1,1,1,0,0,0,0,1,1,1
2364,2,0,2,0,0,0,0,1,1,1
2367,3,1,1,1,1,0,1,1,1,1
2368,1,1,1,1,0,0,0,1,1,1
2371,1,1,0,1,1,0,1,1,1,0
2377,1,0,1,1,0,0,0,1,1,1
2383,0,0,1,1,0,0,0,1,1,1
2389,1,1,2,1,0,0,0,1,1,1
2395,2,1,1,0,0,0,0,1,1,1
2407,1,1,1,0,0,0,0,1,1,1
2415,2,1,1,0,0,0,0,1,1,1
2418,2,1,0,1,0,0,1,0,1,0
