,breed_primary,breed_mixed,breed_unknown,color_primary,age,sex,size,coat,fixed,house_trained,special_needs,shots_current,env_children,env_dogs
1632,84,1,0,1,0,0,1,4,1,0,0,1,1,0
1634,137,1,0,13,2,0,3,4,1,1,1,1,1,1
1635,49,1,0,2,3,0,3,4,0,1,0,0,1,1
1636,38,1,0,2,0,0,1,4,1,1,0,1,1,1
1637,130,1,0,7,0,0,2,4,1,1,0,1,1,1
1638,130,1,0,6,0,0,2,4,0,1,1,0,1,1
1640,49,0,0,2,0,1,3,4,0,1,0,0,1,1
1642,84,1,0,1,0,1,1,3,1,1,0,1,0,1
1643,49,0,0,5,0,1,3,4,1,1,0,1,1,1
1647,108,0,0,1,2,1,2,3,1,1,1,1,1,1
1648,176,1,0,0,2,0,2,4,1,1,0,1,1,0
1652,130,1,0,2,3,0,2,4,1,1,0,1,1,0
1656,9,1,0,9,0,1,1,4,1,1,1,1,0,1
1657,9,1,0,6,0,1,2,4,1,1,0,1,1,1
1663,9,1,0,11,0,0,1,4,1,1,0,1,0,0
1667,130,1,0,2,0,1,2,4,1,1,0,1,0,1
1668,130,1,0,13,0,1,1,4,1,1,0,1,1,1
1669,130,1,0,14,3,0,2,4,1,1,0,1,1,1
1670,130,0,0,6,0,0,2,4,1,1,1,1,1,1
1671,162,1,0,6,3,1,2,4,1,1,0,1,1,1
1672,9,1,0,14,3,1,1,4,1,1,0,1,1,1
1674,111,1,0,13,3,1,1,2,1,1,0,1,0,0
1675,130,1,0,13,0,0,2,4,1,1,0,1,0,1
1678,130,1,0,13,0,1,2,4,1,1,0,1,0,1
1736,49,1,0,14,0,1,3,4,0,0,0,0,1,1
1749,62,1,0,2,1,1,3,4,1,1,0,1,1,1
1757,130,1,0,6,2,0,2,4,1,1,0,1,1,1
1769,133,1,0,0,0,1,3,2,1,0,0,1,1,1
1782,162,1,0,6,0,0,2,4,1,1,0,1,1,1
1791,9,1,0,2,0,0,2,4,1,1,0,1,1,1
1807,101,0,0,10,0,0,3,5,1,0,0,1,0,1
1811,130,1,0,13,3,0,2,4,1,1,0,1,1,1
1812,49,0,0,2,0,0,3,3,1,1,0,1,1,1
1820,24,1,0,2,1,1,2,4,1,1,0,1,1,1
1825,165,1,0,4,3,1,2,5,1,1,0,1,1,1
1826,165,1,0,2,0,1,3,4,1,0,0,1,0,0
1828,182,1,0,12,3,1,3,3,1,1,0,1,1,1
1830,113,0,0,1,0,1,3,4,1,1,0,1,1,1
1831,9,1,0,4,2,1,1,4,1,1,0,1,1,1
1833,49,1,0,14,0,1,2,4,1,1,0,1,0,0
1836,37,1,0,2,3,1,1,4,1,1,0,1,1,1
1838,130,1,0,6,0,0,2,4,1,1,0,1,1,1
1839,130,0,0,10,0,1,1,4,1,1,0,1,1,1
1840,130,0,0,6,0,1,1,4,1,1,0,1,1,1
1843,130,0,0,6,0,1,1,4,1,1,0,1,1,0
1844,130,1,0,13,0,0,2,4,1,1,1,1,0,0
1849,101,1,0,13,2,0,3,4,1,0,1,1,0,1
1859,84,1,0,0,1,1,2,3,1,1,0,1,1,1
1861,84,0,0,0,0,1,2,3,1,1,0,1,1,1
1863,84,0,0,0,3,1,2,3,1,1,0,1,1,1
1864,95,1,0,2,1,1,2,3,0,0,0,1,1,1
1865,95,1,0,0,1,0,2,3,0,0,0,1,1,1
1870,95,1,0,2,0,0,1,4,1,0,0,1,1,1
1871,95,1,0,10,0,0,2,3,1,0,0,1,1,1
1895,106,1,0,13,1,0,2,4,1,1,0,1,1,1
1896,30,0,0,4,0,1,2,2,0,0,0,1,1,1
1899,106,1,0,2,3,1,2,4,0,0,0,0,1,1
1903,6,0,0,10,3,1,2,4,0,0,0,0,1,1
1904,84,1,0,2,1,0,1,4,1,0,0,1,1,1
1905,95,1,0,4,1,1,1,3,1,0,0,1,1,1
1906,33,1,0,2,3,1,3,4,0,0,0,0,1,1
1940,130,0,0,13,1,0,1,4,0,0,0,1,1,1
1941,6,0,0,4,1,1,2,4,0,0,0,1,1,1
1942,6,0,0,13,1,1,2,4,0,0,0,1,1,1
1943,165,0,0,2,1,1,2,3,0,0,0,1,1,1
1944,6,0,0,4,1,1,1,4,0,0,0,1,1,1
1945,6,0,0,4,1,0,1,4,0,0,0,1,1,1
1946,6,0,0,4,1,1,1,4,0,0,0,1,1,1
1947,6,0,0,4,1,0,1,4,0,0,0,1,1,1
1949,6,0,0,4,1,0,1,4,0,0,0,0,1,1
1951,152,1,0,12,3,1,1,4,0,0,0,1,1,1
1961,94,1,0,2,3,1,2,4,0,0,0,1,1,1
1962,106,1,0,2,0,0,2,3,0,0,0,1,1,1
1964,94,0,0,12,1,1,2,4,0,0,0,1,1,1
1965,94,0,0,12,1,0,2,4,0,0,0,1,1,1
1966,94,1,0,2,3,0,2,4,0,0,0,1,1,1
1967,106,0,0,2,3,1,2,4,0,0,0,1,1,1
1980,106,1,0,2,1,1,2,4,1,0,0,1,1,1
1981,106,1,0,14,3,1,2,3,1,1,0,1,1,1
2046,181,1,0,14,0,1,2,4,1,1,0,1,1,1
2060,94,1,0,1,1,1,2,4,1,0,0,1,1,1
2065,94,1,0,1,1,1,2,4,1,0,0,1,1,1
2066,94,1,0,1,1,0,2,4,1,0,0,1,1,1
2067,6,1,0,13,0,0,2,4,1,1,0,1,1,0
2092,30,1,0,13,0,1,2,2,0,0,0,0,1,1
2140,94,0,0,4,0,1,1,4,0,0,0,1,1,1
2141,130,0,0,2,3,0,2,4,0,0,0,1,1,1
2142,130,0,0,2,3,0,2,4,0,0,0,1,1,1
2150,106,1,0,14,0,1,1,4,1,1,0,0,1,1
2157,84,1,0,1,1,0,1,2,1,1,0,1,1,1
2158,84,1,0,1,1,0,1,2,1,1,0,1,1,1
2166,88,1,0,2,1,1,1,4,1,0,0,1,1,1
2167,88,1,0,2,1,1,1,4,0,0,0,1,1,1
2168,88,1,0,2,1,0,2,4,1,0,0,1,1,1
2169,88,1,0,2,1,0,2,4,1,0,0,1,1,1
2170,34,1,0,10,0,0,2,4,1,1,0,1,1,1
2171,89,1,0,2,1,1,1,3,1,0,0,1,1,1
2178,6,1,0,3,1,0,2,4,1,0,0,1,1,1
2179,6,0,0,3,1,0,2,4,1,0,0,1,1,1
2180,6,1,0,3,1,0,2,4,1,0,0,1,1,1
2186,106,1,0,14,1,0,2,4,1,0,0,1,1,1
2187,106,1,0,2,1,0,2,4,1,0,0,1,1,1
2188,106,1,0,2,1,0,2,4,1,0,0,1,1,1
2189,106,1,0,14,1,1,2,4,1,0,0,1,1,1
2190,106,1,0,2,1,1,2,4,1,0,0,1,1,1
2196,76,1,0,12,3,1,3,4,0,0,0,0,1,1
2221,6,1,0,3,1,0,2,4,1,0,0,1,1,1
2225,62,1,0,10,0,1,3,4,1,0,0,1,1,1
2233,106,1,0,2,3,0,2,4,0,0,0,1,1,1
2245,84,1,0,2,1,0,1,4,0,0,0,1,1,1
2246,76,0,0,14,1,0,2,4,0,0,0,1,1,1
2255,15,1,0,14,0,1,2,4,1,1,0,1,1,0
2256,89,1,0,13,3,1,1,3,1,1,0,1,1,1
2258,106,1,0,2,1,0,2,4,0,0,0,1,1,1
2259,106,1,0,2,1,0,2,3,0,0,0,1,1,1
2260,106,1,0,2,1,0,2,3,0,0,0,1,1,1
2261,106,1,0,2,1,0,2,3,0,0,0,1,1,1
2279,130,1,0,13,1,0,2,4,0,0,0,1,1,1
2287,130,1,0,6,3,1,1,4,1,0,0,1,1,1
2300,94,0,0,14,0,1,2,4,0,0,0,1,1,1
2301,94,1,0,4,3,1,2,4,0,0,0,1,1,1
2302,94,1,0,4,3,0,2,4,0,0,0,1,1,1
2303,16,1,0,1,1,1,2,4,1,0,0,1,1,1
2304,16,1,0,1,1,0,2,4,1,0,0,1,1,1
2312,130,1,0,6,0,0,2,4,1,1,0,1,1,1
2317,106,1,0,14,0,1,2,4,1,1,0,1,1,1
2323,112,1,0,3,3,0,1,4,1,1,0,1,1,1
2335,95,1,0,12,0,0,2,2,1,1,0,0,1,1
2337,138,1,0,13,1,0,3,4,1,0,0,1,1,1
2338,138,1,0,13,1,1,3,4,1,0,0,1,1,1
2339,138,1,0,10,1,1,3,4,1,0,0,1,1,1
2340,138,1,0,4,1,1,3,4,1,0,0,1,1,1
2346,106,1,0,2,1,0,2,4,1,0,0,1,1,1
2359,16,1,0,12,1,0,2,4,0,0,0,1,1,1
2367,106,1,0,2,2,1,2,4,1,1,0,1,1,1
2385,130,0,0,4,0,0,2,4,0,0,0,1,1,1
2393,94,1,0,5,0,1,2,4,1,1,0,1,1,1
2397,151,1,0,3,0,1,1,4,1,0,1,1,1,1
2428,49,1,0,4,3,0,3,4,1,1,0,1,1,1
2440,152,0,0,12,1,0,2,4,0,0,0,1,1,1
2441,140,1,0,12,1,1,2,3,0,0,0,1,1,1
2447,106,1,0,2,3,0,2,4,0,0,0,1,1,1
2453,34,1,0,4,0,1,2,4,1,1,0,1,1,1
2461,34,1,0,13,3,0,2,4,1,1,0,1,1,1
2473,165,1,0,2,0,0,3,4,0,0,0,1,1,1
2474,130,1,0,12,0,0,2,4,0,0,0,0,1,1
2476,39,1,0,2,3,0,2,3,1,1,0,1,1,1
2507,9,1,0,5,0,1,2,4,1,1,0,1,1,1
2512,173,1,0,6,2,0,2,4,1,1,0,1,1,0
2514,106,1,0,14,1,0,2,3,1,0,0,1,1,1
2515,16,1,0,10,0,0,2,4,1,1,0,1,1,1
2516,106,1,0,14,0,1,2,4,1,1,0,1,1,1
2517,64,1,0,6,3,1,2,4,1,1,0,1,1,1
2525,106,1,0,2,3,1,2,4,1,0,0,1,1,1
2526,106,1,0,2,0,0,2,4,1,0,0,1,1,1
2536,49,1,0,2,3,1,3,4,1,1,0,1,0,1
2537,101,1,0,12,0,0,3,4,1,1,0,1,1,1
