,breed_primary,breed_secondary,breed_mixed,breed_unknown,color_primary,color_secondary,age,sex,size,coat,fixed,house_trained,special_needs,shots_current,env_children,env_dogs,env_cats
211,57,-1,1,0,6,13,2,0,3,4,1,0,0,1,-1,1,-1
212,57,-1,0,0,2,-1,3,1,3,-1,1,0,0,1,-1,1,-1
213,117,-1,1,0,12,-1,0,1,3,4,1,0,0,1,-1,1,-1
214,57,-1,1,0,-1,-1,0,0,3,4,1,1,0,1,-1,1,-1
215,215,172,1,0,4,5,3,0,3,4,1,0,0,1,-1,1,-1
216,160,-1,1,0,5,-1,0,1,3,4,1,1,0,1,-1,1,-1
217,180,-1,0,0,-1,-1,0,0,1,4,1,1,0,1,-1,1,-1
218,66,158,1,0,-1,-1,1,1,1,-1,0,0,0,1,-1,-1,-1
219,66,158,1,0,-1,-1,1,0,1,-1,0,0,0,1,-1,-1,-1
220,66,158,1,0,-1,-1,1,0,1,-1,0,0,0,1,-1,-1,-1
221,66,158,1,0,-1,-1,1,1,1,-1,0,0,0,1,-1,-1,-1
222,66,158,1,0,-1,-1,1,1,1,-1,0,0,0,1,-1,-1,-1
223,66,158,1,0,-1,-1,1,1,1,-1,0,0,0,1,-1,-1,-1
224,66,158,1,0,-1,-1,1,1,1,-1,0,0,0,1,-1,-1,-1
225,66,158,1,0,-1,-1,1,0,1,-1,0,0,0,1,-1,-1,-1
226,66,158,1,0,-1,-1,1,1,1,-1,0,0,0,1,-1,-1,-1
227,66,158,1,0,-1,-1,1,1,1,-1,0,0,0,1,-1,-1,-1
228,57,-1,0,0,-1,-1,0,0,3,-1,1,1,0,0,1,1,-1
229,157,-1,1,0,-1,-1,0,1,1,-1,0,0,0,0,-1,-1,-1
230,157,-1,1,0,-1,-1,0,1,1,-1,1,0,0,0,-1,-1,-1
231,180,156,1,0,-1,-1,3,0,2,-1,1,1,0,1,1,-1,1
232,178,158,1,0,-1,-1,3,0,2,-1,1,1,0,1,1,-1,1
233,157,-1,0,0,2,13,0,0,1,4,0,0,0,0,-1,-1,-1
234,165,-1,0,0,12,-1,2,0,2,4,0,0,0,0,-1,-1,-1
235,157,-1,1,0,13,14,3,0,2,4,1,1,0,1,1,-1,0
236,14,33,1,0,-1,-1,3,0,2,-1,1,1,0,1,1,1,-1
237,117,-1,1,0,12,-1,3,1,3,4,1,0,0,1,1,1,0
238,114,-1,0,0,10,13,0,1,3,4,1,0,0,1,1,1,1
239,215,-1,0,0,6,14,2,1,3,3,1,0,0,1,1,1,1
240,47,-1,0,0,2,13,0,0,3,4,1,0,0,1,1,1,1
241,12,135,1,0,2,13,0,0,1,4,1,0,0,1,0,1,0
242,157,-1,1,0,-1,-1,3,1,1,-1,0,0,0,0,-1,-1,-1
243,10,15,1,0,13,14,0,1,2,4,0,1,0,0,-1,0,0
244,157,178,1,0,14,-1,0,0,1,-1,1,1,0,1,1,0,0
245,183,143,1,0,6,13,2,1,3,5,1,1,0,1,1,1,-1
246,183,143,1,0,2,6,2,0,3,5,1,1,0,1,1,1,1
247,157,-1,1,0,-1,-1,0,1,1,-1,1,0,0,0,-1,-1,-1
248,157,-1,1,0,-1,-1,0,1,2,4,1,0,0,1,1,1,-1
249,157,-1,1,0,-1,-1,0,0,1,-1,1,0,0,0,-1,-1,-1
250,157,120,1,0,-1,-1,0,0,2,-1,1,1,0,1,-1,0,0
251,97,-1,1,0,5,-1,1,0,2,4,1,0,0,1,-1,1,1
252,160,-1,0,0,0,-1,2,1,3,3,1,1,0,1,-1,1,-1
253,195,-1,1,0,2,13,0,0,3,3,1,1,0,1,0,0,-1
254,10,-1,1,0,-1,-1,3,0,2,4,1,1,0,1,1,1,1
255,157,-1,1,0,-1,-1,0,1,1,-1,1,0,0,0,-1,-1,-1
256,157,-1,1,0,-1,-1,0,1,1,-1,1,0,0,0,-1,-1,-1
257,160,-1,1,0,0,13,0,1,2,4,0,0,0,0,-1,-1,-1
258,128,139,1,0,-1,-1,0,1,3,4,1,1,0,1,-1,-1,-1
259,57,-1,0,0,13,14,3,1,3,4,1,0,0,1,-1,-1,-1
260,157,-1,1,0,-1,-1,0,1,1,-1,1,0,0,0,-1,-1,-1
261,6,-1,1,0,-1,-1,3,1,1,-1,1,0,0,0,-1,-1,-1
262,132,120,1,0,-1,-1,0,1,1,-1,1,0,0,0,-1,-1,-1
263,6,149,1,0,-1,-1,3,1,1,-1,1,0,0,0,-1,-1,-1
264,6,120,1,0,-1,-1,3,0,2,-1,0,0,0,0,-1,-1,-1
265,124,120,1,0,-1,-1,0,0,1,-1,1,0,0,0,-1,-1,-1
266,157,-1,1,0,-1,-1,0,1,1,-1,1,0,0,0,-1,-1,-1
267,157,66,1,0,-1,-1,3,0,2,4,1,1,0,1,-1,-1,-1
268,97,-1,0,0,-1,-1,3,0,2,4,1,1,0,1,-1,1,-1
269,157,-1,1,0,-1,-1,0,1,1,-1,1,0,0,0,-1,-1,-1
270,18,-1,1,0,3,13,3,1,2,4,1,1,0,1,-1,1,-1
271,97,-1,0,0,-1,-1,2,0,1,-1,1,0,0,1,-1,-1,-1
272,57,-1,1,0,13,-1,0,0,3,4,1,1,0,1,-1,-1,-1
273,157,-1,1,0,-1,-1,0,1,1,-1,1,0,0,0,-1,-1,-1
274,53,-1,1,0,0,1,3,0,2,-1,1,1,0,1,1,1,1
275,57,-1,1,0,-1,-1,0,0,3,-1,1,1,0,0,-1,1,-1
276,14,-1,0,0,-1,-1,0,0,2,-1,1,1,0,0,-1,1,-1
277,40,135,1,0,-1,-1,0,1,1,-1,1,0,0,1,0,0,0
278,138,-1,0,0,-1,-1,2,1,2,-1,1,0,0,1,-1,-1,-1
279,178,120,1,0,-1,-1,0,0,1,-1,1,0,0,1,0,0,0
280,132,46,1,0,-1,-1,0,0,1,-1,1,1,0,1,-1,0,0
281,111,83,1,0,-1,-1,3,0,1,-1,1,0,0,1,-1,-1,-1
282,53,106,1,0,-1,-1,0,0,2,-1,1,0,0,1,-1,-1,-1
283,57,-1,0,0,-1,-1,0,1,3,-1,0,0,0,1,-1,-1,-1
284,57,-1,1,0,-1,-1,0,1,3,-1,1,0,0,1,-1,-1,-1
285,14,13,1,0,-1,-1,3,0,2,-1,1,0,0,1,-1,-1,-1
286,57,-1,0,0,-1,-1,0,0,3,-1,1,0,0,1,-1,-1,-1
287,124,-1,1,0,-1,-1,0,0,2,-1,1,0,0,1,-1,-1,-1
288,40,169,1,0,-1,-1,0,0,1,-1,1,0,0,1,-1,-1,-1
289,43,159,1,0,-1,-1,0,1,2,-1,1,1,0,1,-1,0,-1
290,157,120,1,0,2,13,0,1,1,4,1,1,0,1,-1,-1,-1
291,157,-1,1,0,-1,-1,3,1,2,-1,1,0,0,0,-1,-1,-1
292,157,-1,1,0,-1,-1,0,1,1,-1,1,0,0,0,-1,-1,-1
293,167,-1,0,0,-1,-1,3,0,2,-1,1,1,0,1,-1,1,1
294,180,-1,1,0,-1,-1,3,1,2,-1,1,0,0,1,-1,-1,-1
295,171,158,1,0,12,-1,0,0,1,4,0,0,0,0,-1,1,-1
296,124,-1,1,0,0,-1,3,0,1,4,1,1,0,1,-1,1,-1
297,77,-1,0,0,4,13,0,1,2,4,1,1,1,1,-1,1,-1
298,4,120,1,0,-1,-1,0,1,1,-1,1,0,0,0,-1,-1,-1
299,157,120,1,0,-1,-1,0,0,1,-1,1,0,0,0,-1,-1,-1
300,67,-1,0,0,10,-1,1,1,1,4,1,1,0,1,1,1,-1
301,57,120,1,0,-1,-1,0,1,3,4,1,0,0,0,-1,1,-1
302,65,-1,0,0,2,13,0,1,3,4,1,0,0,1,-1,1,-1
303,57,120,1,0,1,-1,3,1,3,4,1,0,0,0,-1,1,-1
304,171,-1,1,0,-1,-1,3,1,2,-1,1,0,0,1,-1,-1,-1
305,124,158,1,0,-1,-1,3,1,2,-1,1,1,0,1,-1,-1,-1
306,157,120,1,0,-1,-1,0,1,1,-1,1,0,0,0,-1,-1,-1
307,195,101,1,0,2,13,0,1,2,4,1,1,0,0,1,1,-1
308,157,-1,1,0,-1,-1,0,0,1,-1,1,0,0,0,-1,-1,-1
309,195,-1,1,0,-1,-1,3,0,2,5,1,1,0,1,1,1,1
310,165,50,1,0,-1,-1,0,0,3,4,1,1,0,1,1,1,1
311,104,-1,1,0,0,-1,0,1,1,4,1,1,0,1,1,1,-1
312,14,-1,1,0,8,-1,0,1,2,4,1,1,0,1,-1,-1,-1
313,195,-1,1,0,-1,-1,3,0,2,-1,1,0,0,1,1,0,0
314,157,120,1,0,-1,-1,0,0,2,-1,1,0,0,0,-1,-1,-1
315,124,-1,1,0,2,-1,3,1,2,4,1,0,0,1,1,1,-1
316,124,-1,1,0,3,-1,3,1,1,4,1,0,0,1,1,1,-1
317,124,58,1,0,-1,-1,3,1,2,4,1,0,0,1,-1,-1,-1
318,35,-1,1,0,-1,-1,0,0,2,4,1,0,0,1,1,1,1
319,57,-1,1,0,-1,-1,1,1,3,4,1,0,0,1,1,1,1
320,97,-1,0,0,12,-1,3,1,1,3,1,1,0,1,-1,1,-1
321,57,-1,0,0,14,-1,3,1,3,4,1,1,0,1,1,1,1
322,47,-1,0,0,2,-1,2,1,3,4,1,1,0,1,1,1,1
