,age,sex,size,fixed,house_trained,special_needs,shots_current,env_children,env_dogs,env_cats
2811,0,1,1,1,1,0,1,0,0,0
2815,0,1,1,1,1,0,1,0,1,0
2816,0,0,1,1,0,0,1,1,0,0
2817,0,1,2,1,0,0,1,1,0,0
2819,2,1,2,1,0,0,1,0,1,1
2821,3,0,2,1,1,0,1,1,1,1
2822,2,0,1,1,0,0,1,1,1,1
2823,0,0,1,1,1,0,1,1,1,0
2835,0,0,3,1,0,0,1,0,1,1
2840,2,0,3,1,1,0,0,1,1,1
2841,0,0,2,1,0,1,1,1,0,0
2852,3,0,2,1,1,0,1,1,1,1
2859,0,0,2,1,1,0,1,0,0,1
2874,2,0,3,1,1,0,1,1,1,1
2877,0,0,2,1,1,0,1,1,0,0
2882,0,0,2,1,1,0,1,0,0,0
2900,1,0,0,1,1,1,1,0,0,0
