,breed_primary,breed_secondary,breed_mixed,breed_unknown,color_primary,color_secondary,age,sex,size,coat,fixed,house_trained,special_needs,shots_current,env_children,env_dogs,env_cats
46050,Chihuahua,Pug,True,False,Black,Yellow / Tan / Blond / Fawn,Adult,Male,Small,Short,False,True,False,True,True,False,True
46076,American Staffordshire Terrier,Labrador Retriever,True,False,Black,White / Cream,Adult,Male,Large,Short,True,True,False,True,False,True,False
46081,Spaniel,Terrier,True,False,White / Cream,Black,Young,Male,Small,Medium,True,True,True,True,True,True,False
46083,Jack Russell Terrier,Pit Bull Terrier,True,False,Red / Chestnut / Orange,White / Cream,Adult,Female,Small,Short,True,False,False,True,False,True,False
46092,Labrador Retriever,Great Dane,True,False,Black,White / Cream,Young,Male,Large,Short,True,True,False,True,True,True,True
46109,Shar-Pei,Pit Bull Terrier,True,False,White / Cream,Red / Chestnut / Orange,Young,Female,Medium,Short,True,False,False,True,False,True,True
46110,Boxer,Pit Bull Terrier,True,False,White / Cream,Black,Adult,Male,Large,Short,True,True,True,True,False,False,False
46360,Hound,German Shepherd Dog,True,False,Black,Brown / Chocolate,Baby,Female,Medium,Short,True,False,False,True,True,True,True
46428,Labrador Retriever,Mastiff,True,False,Black,White / Cream,Baby,Female,Large,Short,True,False,False,True,True,True,True
46429,Labrador Retriever,Mastiff,True,False,Black,White / Cream,Baby,Male,Large,Short,True,False,False,True,True,True,True
46492,Pit Bull Terrier,Labrador Retriever,True,False,Black,White / Cream,Baby,Male,Medium,Short,True,True,False,True,True,True,True
46534,Smooth Collie,Australian Shepherd,True,False,Gray / Blue / Silver,White / Cream,Senior,Female,Medium,Medium,True,True,False,True,True,True,False
46575,Australian Cattle Dog / Blue Heeler,Australian Shepherd,True,False,Brown / Chocolate,White / Cream,Young,Male,Medium,Medium,True,False,False,True,True,True,False
46581,Shar-Pei,Labrador Retriever,True,False,Black,Gray / Blue / Silver,Baby,Female,Medium,Short,True,False,False,True,True,True,True
46771,Boxer,Rottweiler,True,False,Bicolor,Black,Baby,Female,Large,Short,True,False,False,True,True,True,True
46772,Chow Chow,German Shepherd Dog,True,False,Apricot / Beige,White / Cream,Baby,Male,Large,Medium,True,True,False,True,True,True,True
46851,Miniature Pinscher,Chihuahua,True,False,Black,White / Cream,Senior,Female,Small,Short,True,True,False,True,True,True,True
46855,Doberman Pinscher,Terrier,True,False,Brown / Chocolate,Gray / Blue / Silver,Young,Female,Medium,Short,False,False,False,True,True,True,True
46917,Golden Retriever,Labrador Retriever,True,False,White / Cream,Yellow / Tan / Blond / Fawn,Young,Female,Large,Short,True,True,False,True,True,True,False
46987,Pit Bull Terrier,Boxer,True,False,Apricot / Beige,Red / Chestnut / Orange,Baby,Female,Medium,Medium,True,False,False,True,True,True,True
47039,Boxer,Hound,True,False,Brown / Chocolate,Golden,Adult,Male,Large,Short,True,True,False,True,True,False,False
47092,Pug,Chihuahua,True,False,White / Cream,Yellow / Tan / Blond / Fawn,Adult,Female,Small,Short,True,True,False,True,True,True,True
47219,Shepherd,Mixed Breed,True,False,Black,White / Cream,Young,Male,Medium,Medium,True,True,False,True,True,True,False
47239,Black and Tan Coonhound,Doberman Pinscher,True,False,Black,Yellow / Tan / Blond / Fawn,Adult,Male,Large,Short,True,True,True,True,False,True,False
47279,Retriever,Terrier,True,False,Black,Brindle,Young,Male,Medium,Short,True,False,False,True,False,True,True
47295,Pit Bull Terrier,Beagle,True,False,Apricot / Beige,White / Cream,Adult,Female,Medium,Short,True,False,False,True,True,False,False
47310,American Staffordshire Terrier,Boxer,True,False,Black,White / Cream,Baby,Female,Large,Short,True,True,False,True,True,True,True
47344,Great Pyrenees,American Bulldog,True,False,White / Cream,Yellow / Tan / Blond / Fawn,Young,Male,Large,Short,True,False,False,True,True,False,False
47421,English Setter,American Staffordshire Terrier,True,False,Black,White / Cream,Young,Female,Medium,Short,True,True,False,True,True,True,True
47473,Labrador Retriever,Rhodesian Ridgeback,True,False,Apricot / Beige,Golden,Young,Female,Medium,Short,True,True,False,True,True,True,False
47498,Labrador Retriever,Pit Bull Terrier,True,False,Black,White / Cream,Young,Female,Medium,Short,True,True,False,False,True,True,True
47500,Boxer,Shar-Pei,True,False,White / Cream,Yellow / Tan / Blond / Fawn,Adult,Male,Medium,Short,True,True,False,True,True,False,False
47560,Shar-Pei,Shepherd,True,False,Black,Brown / Chocolate,Adult,Female,Medium,Short,True,True,False,True,True,False,False
47601,Pit Bull Terrier,American Staffordshire Terrier,True,False,Brindle,Red / Chestnut / Orange,Adult,Female,Large,Short,True,True,False,True,True,True,True
47736,Shepherd,Boxer,True,False,Black,Brindle,Adult,Male,Large,Short,True,True,False,True,True,False,False
47802,Great Dane,Mastiff,True,False,Gray / Blue / Silver,White / Cream,Adult,Male,Large,Short,True,False,False,False,False,False,False
47812,Labrador Retriever,Pit Bull Terrier,True,False,Red / Chestnut / Orange,White / Cream,Adult,Male,Medium,Medium,True,True,False,True,True,True,False
47822,Terrier,Wirehaired Terrier,True,False,Black,Brown / Chocolate,Young,Female,Medium,Medium,True,True,False,True,True,True,False
47911,Boxer,Labrador Retriever,True,False,Red / Chestnut / Orange,White / Cream,Young,Male,Large,Long,True,False,False,False,True,True,True
47980,Pit Bull Terrier,Boston Terrier,True,False,Black,White / Cream,Adult,Female,Medium,Short,True,True,False,True,True,True,True
47995,Pit Bull Terrier,American Staffordshire Terrier,True,False,Gray / Blue / Silver,White / Cream,Adult,Male,Medium,Short,True,True,True,True,False,True,True
48152,Collie,Great Pyrenees,True,False,Golden,White / Cream,Baby,Female,Medium,Medium,True,True,False,True,True,True,True
48206,Poodle,Shih Tzu,True,False,White / Cream,Yellow / Tan / Blond / Fawn,Baby,Male,Small,Long,True,False,False,True,True,True,False
48507,Basenji,Terrier,True,False,Apricot / Beige,White / Cream,Adult,Female,Medium,Short,True,True,False,True,True,True,True
48517,Saluki,German Shepherd Dog,True,False,Black,Sable,Adult,Female,Large,Short,True,True,True,True,True,True,True
48585,French Bulldog,Labrador Retriever,True,False,Black,White / Cream,Baby,Female,Medium,Short,True,False,False,True,True,True,True
48640,Terrier,Pit Bull Terrier,True,False,Black,White / Cream,Young,Female,Small,Short,True,True,False,True,True,True,True
48643,Border Collie,Labrador Retriever,True,False,Black,White / Cream,Adult,Female,Medium,Short,False,False,False,True,True,True,True
48672,Great Pyrenees,Anatolian Shepherd,True,False,Gray / Blue / Silver,Yellow / Tan / Blond / Fawn,Adult,Male,Large,Long,True,True,False,True,True,True,True
48708,Pointer,Beagle,True,False,Red / Chestnut / Orange,White / Cream,Baby,Male,Medium,Medium,True,False,False,True,True,True,False
48821,Staffordshire Bull Terrier,Boston Terrier,True,False,Black,Brindle,Young,Male,Medium,Short,True,True,False,True,True,True,True
48837,Chocolate Labrador Retriever,Pit Bull Terrier,True,False,Brown / Chocolate,White / Cream,Baby,Male,Medium,Short,True,True,False,True,True,True,True
48854,Boxer,Beagle,True,False,Black,Brown / Chocolate,Young,Female,Medium,Short,True,True,False,True,True,True,False
48920,Chihuahua,Papillon,True,False,Apricot / Beige,Bicolor,Adult,Male,Small,Long,True,True,True,True,False,True,True
48967,American Staffordshire Terrier,Labrador Retriever,True,False,Black,White / Cream,Adult,Male,Large,Short,False,False,False,False,True,True,True
48996,Great Pyrenees,Golden Retriever,True,False,White / Cream,Yellow / Tan / Blond / Fawn,Adult,Female,Large,Medium,True,True,False,True,True,True,False
49042,American Staffordshire Terrier,Pit Bull Terrier,True,False,Bicolor,White / Cream,Young,Female,Medium,Short,True,False,False,True,True,False,False
49096,German Shepherd Dog,Boxer,True,False,Bicolor,Black,Adult,Male,Large,Short,True,True,False,True,True,True,True
49115,Catahoula Leopard Dog,Pit Bull Terrier,True,False,Apricot / Beige,White / Cream,Adult,Female,Medium,Short,True,False,False,True,True,True,True
49141,Plott Hound,Mixed Breed,True,False,Brindle,White / Cream,Young,Male,Large,Short,True,True,False,True,True,True,False
49142,Plott Hound,Mixed Breed,True,False,Bicolor,White / Cream,Young,Female,Large,Short,True,False,False,True,True,True,False
49291,Border Collie,Labrador Retriever,True,False,Black,White / Cream,Young,Male,Medium,Short,True,True,False,True,True,True,False
